id,first_name,last_name,IT,FOD,English,FOM
1,Shelton,Skyram,33.05,95.27,36.51,58.54
2,Shelley,Gascar,92.12,33.46,44.31,30.86
3,Bran,Whiskin,64.22,68.82,85.79,20.64
4,Wylma,Castel,73.94,79.42,29.79,92.52
5,Kipp,Hincham,61.27,21.63,20.95,28.37
6,Christoph,Brimilcome,24.22,66.96,77.04,69.38
7,Viki,Rodrigues,72.73,27.29,28.18,27.47
8,Aryn,Mackett,92.68,76.57,47.58,52.7
9,Giacomo,Kewzick,44.21,37.89,48.42,55.95
10,Haleigh,McGaffey,60.73,87.63,33.47,52.03
11,Jeremiah,Durnford,81.98,46.01,96.67,47.88
12,Eugenie,Drewry,53.09,93.83,71.23,33.51
13,Brendan,Nono,85.88,67.63,47.8,95.66
14,Kelvin,Renard,32.6,42.44,46.42,62.63
15,Evania,Di Domenico,58.54,38.23,25.25,33.76
16,Patti,Hallowell,60.93,45.88,57.75,48.26
17,Wittie,Janda,57.51,87.87,73.75,84.3
18,Sibley,Beeswing,61.44,85.25,87.79,80.78
19,Tab,Potticary,21.22,88.7,84.47,29.85
20,Teodor,Musson,56.58,55.71,98.9,77.26
21,Xever,Slateford,74.1,44.5,22.4,39.57
22,Millie,Veronique,50.58,31.68,22.91,71
23,Emmy,Kilfeder,32.16,20.5,97.07,25.18
24,Sebastiano,Renne,42.76,75.49,22.66,27.72
25,Jethro,Membry,37.35,68.7,99.93,74.59
26,Thom,Conneau,86.68,91.48,48.88,41.32
27,Holly-anne,Yakolev,24.44,67.78,36.3,46.08
28,Tandi,Reynalds,61.85,84.7,42.54,96.44
29,Tracee,Dunsmuir,77.77,79.55,38.29,24.69
30,Brig,Phillps,93.24,68.88,80.14,88.14
31,Idell,Keighly,92.16,68.84,74.39,56.59
32,Eldridge,Mealham,96.2,85.05,37.56,72.69
33,Pearle,Sange,86.72,29.21,96.14,60.13
34,Delaney,Zavittieri,64.94,73.13,54.64,38.95
35,Ave,Berni,49.84,51.62,89.09,26.68
36,Yule,Leggon,49.6,39.47,67.29,54.07
37,Weylin,Callinan,74.49,62.35,67.53,82.4
38,Randene,Moreby,35.99,93.7,81.13,67.97
39,Laurie,Kernar,30.96,60.93,50.84,46.23
40,Myranda,Needham,82.58,26.52,87.7,76.82
41,Alfons,Compfort,99.64,82.8,69.7,71.24
42,Ibby,Chard,51.26,87.59,61.38,82.32
43,Horatio,Skough,73.1,70.1,84.14,32.66
44,Roman,Haseley,57.76,63.88,25.81,90.13
45,Patty,Riddeough,97.33,39.23,61.38,65.82
46,Merrile,Sprague,45.36,60.06,47.65,72.29
47,Early,Paddefield,42.55,33.55,39.11,69.52
